Symbol,Security,SEC filings,GICS Sector,GICS Sub-Industry
ULTA,Ulta Beauty,reports,Consumer Discretionary,Specialty Stores
UNP,Union Pacific Corporation,reports,Industrials,Railroads
UAL,United Airlines Holdings,reports,Industrials,Airlines
UPS,United Parcel Service,reports,Industrials,Air Freight & Logistics
URI,United Rentals,reports,Industrials,Trading Companies & Distributors
UNH,UnitedHealth Group,reports,Health Care,Managed Health Care
UHS,Universal Health Services,reports,Health Care,Health Care Facilities
VLO,Valero Energy,reports,Energy,Oil & Gas Refining & Marketing
VTR,Ventas,reports,Real Estate,Health Care REITs
VRSN,Verisign,reports,Information Technology,Internet Services & Infrastructure
VRSK,Verisk,reports,Industrials,Research & Consulting Services
VZ,Verizon,reports,Communication Services,Integrated Telecommunication Services
VRTX,Vertex Pharmaceuticals,reports,Health Care,Biotechnology
VFC,VF Corporation,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
VTRS,Viatris,reports,Health Care,Pharmaceuticals
VICI,Vici Properties,reports,Real Estate,Hotel & Resort REITs
V,Visa Inc.,reports,Information Technology,Data Processing & Outsourced Services
VMC,Vulcan Materials Company,reports,Materials,Construction Materials
WAB,Wabtec,reports,Industrials,Construction Machinery & Heavy Trucks
WBA,Walgreens Boots Alliance,reports,Consumer Staples,Drug Retail
WMT,Walmart,reports,Consumer Staples,Hypermarkets & Super Centers
WBD,Warner Bros. Discovery,reports,Communication Services,Broadcasting
WM,Waste Management,reports,Industrials,Environmental & Facilities Services
WAT,Waters Corporation,reports,Health Care,Health Care Distributors
WEC,WEC Energy Group,reports,Utilities,Electric Utilities
WFC,Wells Fargo,reports,Financials,Diversified Banks
WELL,Welltower,reports,Real Estate,Health Care REITs
WST,West Pharmaceutical Services,reports,Health Care,Health Care Supplies
WDC,Western Digital,reports,Information Technology,"Technology Hardware, Storage & Peripherals"
WRK,WestRock,reports,Materials,Paper Packaging
WY,Weyerhaeuser,reports,Real Estate,Specialized REITs
WHR,Whirlpool Corporation,reports,Consumer Discretionary,Household Appliances
WMB,Williams Companies,reports,Energy,Oil & Gas Storage & Transportation
WTW,Willis Towers Watson,reports,Financials,Insurance Brokers
GWW,W. W. Grainger,reports,Industrials,Industrial Machinery
WYNN,Wynn Resorts,reports,Consumer Discretionary,Casinos & Gaming
XEL,Xcel Energy,reports,Utilities,Multi-Utilities
XYL,Xylem Inc.,reports,Industrials,Industrial Machinery
YUM,Yum! Brands,reports,Consumer Discretionary,Restaurants
ZBRA,Zebra Technologies,reports,Information Technology,Electronic Equipment & Instruments
ZBH,Zimmer Biomet,reports,Health Care,Health Care Equipment
ZION,Zions Bancorporation,reports,Financials,Regional Banks
ZTS,Zoetis,reports,Health Care,Pharmaceuticals
